chr1	27894067	27894068
chr1	45345492	45345493
chr1	160125140	160125141
chr1	200873483	200873484
chr2	232832905	232832906
chr3	123582305	123582306
chr4	55090012	55090013
chr4	70642274	70642275
chr4	88056224	88056225
chr5	5462826	5462827
chr5	115163526	115163527
chr5	154755891	154755892
chr6	30913930	30913931
chr6	32150541	32150542
chr10	87864481	87864482
chr10	104259619	104259620
chr12	18701698	18701699
chr14	90290420	90290421
chr17	31258497	31258498
chr17	42178903	42178904
chr18	46089923	46089924
chr18	52752061	52752062
chr19	5587269	5587270
